datasetid,datasetgroup,datasetname,description,cellline,smallmolecule,technologies
LDS-1232,LDG-1226,LINCS Pilot Phase Joint Project: Sensitivity measures of six breast cancer cell lines to a library of small molecule kinase inhibitors (single drug treatments). Dataset 7 of 15: Mean cell count and mean growth rate across all replicates.,-,[u'MCF7'],"[u'Seliciclib', u'AT-7519', u'SCHEMBL1564574', u'AZD-8055', u'Sorafenib', u'CP466722', u'Alvocidib', u'GW843682X', u'Dasatinib', u'Tozasertib', u'Imatinib', u'TAE-684', u'CGP 60474', u'PD-173074', u'Crizotinib', u'BMS-345541', u'Saracatinib', u'Akt inhibitor viii', u'Tamatinib', u'BI-2536', u'A-443654', u'Pictilisib', u'CI-1040', u'PLX-4720', u'Lapatinib', u'Rapamycin', u'ZSTK 474', u'BX 912', u'Selumetinib', u'MK-2206', u'AZD-6482', u'NU-7441', u'OSI-027', u'WYE 125132', u'AZD-1152-HQPA', u'Vemurafenib', u'Enzastaurin', u'Palbociclib', u'PF-562271', u'PHA-793887', u'TORIN1', u'TORIN-2', u'LRRK2-IN-1', u'Erlotinib', u'Gefitinib', u'Nilotinib', u'PD-0325901', u'YM 201636', u'TWS 119', u'PF477736', u'LDN 193189', u'PF431396', u'Celastrol', u'Canertinib', u'PI-103', u'Dovitinib', u'C21H27N7O3', u'BMS-387032', u'GSK-1904529A', u'Linsitinib', u'Ruxolitinib', u'Momelotinib', u'Fedratinib', u'Trametinib', u'EX-8678', u'Buparlisib', u'SCHEMBL570779', u'Y-39983', u'Nintedanib', u'Foretinib', u'AZD-5438', u'Pelitinib', u'Nvp-auy922', u'AZD-8330', u'TGX 221', u'GSK1059615', u'C19H19FN4O3', u'CHIR-99021', u'Linifanib', u'PIK-93', u'Mitoxantrone', u'Dactolisib', u'Alpelisib', u'GDC-0980', u'SCHEMBL3958507', u'SCHEMBL17857056', u'MLS002232309', u'SCHEMBL6874948', u'SCHEMBL17052537', u'WZ3105', u'SCHEMBL3954849', u'QL47', u'Withaferin a', u'CHEMBL585951', u'SB590885', u'CP-724714', u'Neratinib', u'GSK-3 INHIBITOR IX', u'Geldanamycin', u'C28H30CIN5O4S', u'PHA-665752', u'Afatinib', u'HG6-64-1', u'SCHEMBL16065773', u'Monorden', u'WH-4-025', u'NVP-AEW541']",Fluorescence imaging
LDS-1225,LDG-1219,Synovial Fibroblast 3.2: Secretion response of seven primary human synovial fibroblast samples from healthy and rheumatoid arthritis-diagnosed donors to a panel of 3 stimuli and 5 small molecule inhibitors (replicate 2 of 2),-,,"[u'Tofacitinib', u'Ikk inhibitor vii', u'PH-797804', u'5z-7-oxozeaenol', u'JNK-IN-8']",Bead-based immunoassay
LDS-1224,LDG-1218,Synovial Fibroblast 3.1: Secretion response of seven primary human synovial fibroblast samples from healthy and rheumatoid arthritis donors to a panel of 3 stimuli and 5 small molecule inhibitors (replicate 1 of 2),-,,"[u'Tofacitinib', u'Ikk inhibitor vii', u'PH-797804', u'5z-7-oxozeaenol', u'JNK-IN-8']",Bead-based immunoassay
LDS-1223,LDG-1217,Synovial Fibroblast 1: Secretion response of primary human synovial fibroblast samples from one healthy and one rheumatoid arthritis donor to a panel of 10 stimuli and 10 small molecule inhibitors,-,,"[u'Akt inhibitor viii', u'CI-1040', u'PI-103', u'Ruxolitinib', u'Tofacitinib', u'EO 1428', u'Lestaurtinib', u'Ikk inhibitor vii', u'JNK-IN-8', u'JNK-IN-11']",Bead-based immunoassay
LDS-1242,LDG-1236,Highly multiplexed imaging by Cyclic Immunofluorescence (CycIF) of protein levels and protein phosphorylation states in the COLO 858 melanoma cell line,-,[u'COLO 858'],[u'Vemurafenib'],Fluorescence imaging
LDS-1350,LDG-1293,JNK-IN-8 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of JNK-IN-8 at 10 uM of concentration.",,[u'JNK-IN-8'],KINOMEscan
LDS-1351,LDG-1294,JNK-IN-8 KiNativ -- single dose experiment,-,,[u'JNK-IN-8'],KiNativ
LDS-1249,LDG-1240,High-content imaging of six breast cancer cell lines treated with a library of small molecule kinase inhibitors.,-,[u'MCF7'],,Fluorescence imaging
LDS-1257,LDG-1248,LINCS Pilot Phase Joint Project: Sensitivity measures of six breast cancer cell lines to a library of small molecule kinase inhibitors (single drug treatments). Dataset 15 of 15: Calculated dose response metrics.,-,[u'MCF7'],"[u'Seliciclib', u'AT-7519', u'SCHEMBL1564574', u'AZD-8055', u'Sorafenib', u'CP466722', u'Alvocidib', u'GW843682X', u'Dasatinib', u'Tozasertib', u'Imatinib', u'TAE-684', u'CGP 60474', u'PD-173074', u'Crizotinib', u'BMS-345541', u'Saracatinib', u'Akt inhibitor viii', u'Tamatinib', u'BI-2536', u'A-443654', u'Pictilisib', u'CI-1040', u'PLX-4720', u'Lapatinib', u'Rapamycin', u'ZSTK 474', u'BX 912', u'Selumetinib', u'MK-2206', u'AZD-6482', u'NU-7441', u'OSI-027', u'WYE 125132', u'AZD-1152-HQPA', u'Vemurafenib', u'Enzastaurin', u'Palbociclib', u'PF-562271', u'PHA-793887', u'TORIN1', u'TORIN-2', u'LRRK2-IN-1', u'Erlotinib', u'Gefitinib', u'Nilotinib', u'PD-0325901', u'YM 201636', u'TWS 119', u'PF477736', u'LDN 193189', u'PF431396', u'Celastrol', u'Canertinib', u'PI-103', u'Dovitinib', u'C21H27N7O3', u'BMS-387032', u'GSK-1904529A', u'Linsitinib', u'Ruxolitinib', u'Momelotinib', u'Fedratinib', u'Trametinib', u'EX-8678', u'Buparlisib', u'SCHEMBL570779', u'Y-39983', u'Nintedanib', u'Foretinib', u'AZD-5438', u'Pelitinib', u'Nvp-auy922', u'AZD-8330', u'TGX 221', u'GSK1059615', u'C19H19FN4O3', u'CHIR-99021', u'Linifanib', u'PIK-93', u'Mitoxantrone', u'Dactolisib', u'Alpelisib', u'GDC-0980', u'SCHEMBL3958507', u'SCHEMBL17857056', u'MLS002232309', u'SCHEMBL6874948', u'SCHEMBL17052537', u'WZ3105', u'SCHEMBL3954849', u'QL47', u'Withaferin a', u'CHEMBL585951', u'SB590885', u'CP-724714', u'Neratinib', u'GSK-3 INHIBITOR IX', u'Geldanamycin', u'C28H30CIN5O4S', u'PHA-665752', u'Afatinib', u'HG6-64-1', u'SCHEMBL16065773', u'Monorden', u'WH-4-025', u'NVP-AEW541']",Fluorescence imaging
LDS-1254,LDG-1245,LINCS Pilot Phase Joint Project: Sensitivity measures of six breast cancer cell lines to a library of small molecule kinase inhibitors (single drug treatments). Dataset 12 of 15: Mean cell count and mean normalized growth rate inhibition values across biological replicate 2.,-,[u'MCF7'],"[u'Seliciclib', u'AT-7519', u'SCHEMBL1564574', u'AZD-8055', u'Sorafenib', u'CP466722', u'Alvocidib', u'GW843682X', u'Dasatinib', u'Tozasertib', u'Imatinib', u'TAE-684', u'CGP 60474', u'PD-173074', u'Crizotinib', u'BMS-345541', u'Saracatinib', u'Akt inhibitor viii', u'Tamatinib', u'BI-2536', u'A-443654', u'Pictilisib', u'CI-1040', u'PLX-4720', u'Lapatinib', u'Rapamycin', u'ZSTK 474', u'BX 912', u'Selumetinib', u'MK-2206', u'AZD-6482', u'NU-7441', u'OSI-027', u'WYE 125132', u'AZD-1152-HQPA', u'Vemurafenib', u'Enzastaurin', u'Palbociclib', u'PF-562271', u'PHA-793887', u'TORIN1', u'TORIN-2', u'LRRK2-IN-1', u'Erlotinib', u'Gefitinib', u'Nilotinib', u'PD-0325901', u'YM 201636', u'TWS 119', u'PF477736', u'LDN 193189', u'PF431396', u'Celastrol', u'Canertinib', u'PI-103', u'Dovitinib', u'C21H27N7O3', u'BMS-387032', u'GSK-1904529A', u'Linsitinib', u'Ruxolitinib', u'Momelotinib', u'Fedratinib', u'Trametinib', u'EX-8678', u'Buparlisib', u'SCHEMBL570779', u'Y-39983', u'Nintedanib', u'Foretinib', u'AZD-5438', u'Pelitinib', u'Nvp-auy922', u'AZD-8330', u'TGX 221', u'GSK1059615', u'C19H19FN4O3', u'CHIR-99021', u'Linifanib', u'PIK-93', u'Mitoxantrone', u'Dactolisib', u'Alpelisib', u'GDC-0980', u'SCHEMBL3958507', u'SCHEMBL17857056', u'MLS002232309', u'SCHEMBL6874948', u'SCHEMBL17052537', u'WZ3105', u'SCHEMBL3954849', u'QL47', u'Withaferin a', u'CHEMBL585951', u'SB590885', u'CP-724714', u'Neratinib', u'GSK-3 INHIBITOR IX', u'Geldanamycin', u'C28H30CIN5O4S', u'PHA-665752', u'Afatinib', u'HG6-64-1', u'SCHEMBL16065773', u'Monorden', u'WH-4-025', u'NVP-AEW541']",Fluorescence imaging
LDS-1252,LDG-1243,LINCS Pilot Phase Joint Project: Sensitivity measures of six breast cancer cell lines to a library of small molecule kinase inhibitors (single drug treatments). Dataset 10 of 15: Cell count and normalized growth rate inhibition values within biological replicate 3.,-,[u'MCF7'],"[u'Seliciclib', u'AT-7519', u'SCHEMBL1564574', u'AZD-8055', u'Sorafenib', u'CP466722', u'Alvocidib', u'GW843682X', u'Dasatinib', u'Tozasertib', u'Imatinib', u'TAE-684', u'CGP 60474', u'PD-173074', u'Crizotinib', u'BMS-345541', u'Saracatinib', u'Akt inhibitor viii', u'Tamatinib', u'BI-2536', u'A-443654', u'Pictilisib', u'CI-1040', u'PLX-4720', u'Lapatinib', u'Rapamycin', u'ZSTK 474', u'BX 912', u'Selumetinib', u'MK-2206', u'AZD-6482', u'NU-7441', u'OSI-027', u'WYE 125132', u'AZD-1152-HQPA', u'Vemurafenib', u'Enzastaurin', u'Palbociclib', u'PF-562271', u'PHA-793887', u'TORIN1', u'TORIN-2', u'LRRK2-IN-1', u'Erlotinib', u'Gefitinib', u'Nilotinib', u'PD-0325901', u'YM 201636', u'TWS 119', u'PF477736', u'LDN 193189', u'PF431396', u'Celastrol', u'Canertinib', u'PI-103', u'Dovitinib', u'C21H27N7O3', u'BMS-387032', u'GSK-1904529A', u'Linsitinib', u'Ruxolitinib', u'Momelotinib', u'Fedratinib', u'Trametinib', u'EX-8678', u'Buparlisib', u'SCHEMBL570779', u'Y-39983', u'Nintedanib', u'Foretinib', u'AZD-5438', u'Pelitinib', u'Nvp-auy922', u'AZD-8330', u'TGX 221', u'GSK1059615', u'C19H19FN4O3', u'CHIR-99021', u'Linifanib', u'PIK-93', u'Mitoxantrone', u'Dactolisib', u'Alpelisib', u'GDC-0980', u'SCHEMBL3958507', u'SCHEMBL17857056', u'MLS002232309', u'SCHEMBL6874948', u'SCHEMBL17052537', u'WZ3105', u'SCHEMBL3954849', u'QL47', u'Withaferin a', u'CHEMBL585951', u'SB590885', u'CP-724714', u'Neratinib', u'GSK-3 INHIBITOR IX', u'Geldanamycin', u'C28H30CIN5O4S', u'PHA-665752', u'Afatinib', u'HG6-64-1', u'SCHEMBL16065773', u'Monorden', u'WH-4-025', u'NVP-AEW541']",Fluorescence imaging
LDS-1253,LDG-1244,LINCS Pilot Phase Joint Project: Sensitivity measures of six breast cancer cell lines to a library of small molecule kinase inhibitors (single drug treatments). Dataset 11 of 15: Mean cell count and mean normalized growth rate inhibition values across biological replicate 1.,-,[u'MCF7'],"[u'Seliciclib', u'AT-7519', u'SCHEMBL1564574', u'AZD-8055', u'Sorafenib', u'CP466722', u'Alvocidib', u'GW843682X', u'Dasatinib', u'Tozasertib', u'Imatinib', u'TAE-684', u'CGP 60474', u'PD-173074', u'Crizotinib', u'BMS-345541', u'Saracatinib', u'Akt inhibitor viii', u'Tamatinib', u'BI-2536', u'A-443654', u'Pictilisib', u'CI-1040', u'PLX-4720', u'Lapatinib', u'Rapamycin', u'ZSTK 474', u'BX 912', u'Selumetinib', u'MK-2206', u'AZD-6482', u'NU-7441', u'OSI-027', u'WYE 125132', u'AZD-1152-HQPA', u'Vemurafenib', u'Enzastaurin', u'Palbociclib', u'PF-562271', u'PHA-793887', u'TORIN1', u'TORIN-2', u'LRRK2-IN-1', u'Erlotinib', u'Gefitinib', u'Nilotinib', u'PD-0325901', u'YM 201636', u'TWS 119', u'PF477736', u'LDN 193189', u'PF431396', u'Celastrol', u'Canertinib', u'PI-103', u'Dovitinib', u'C21H27N7O3', u'BMS-387032', u'GSK-1904529A', u'Linsitinib', u'Ruxolitinib', u'Momelotinib', u'Fedratinib', u'Trametinib', u'EX-8678', u'Buparlisib', u'SCHEMBL570779', u'Y-39983', u'Nintedanib', u'Foretinib', u'AZD-5438', u'Pelitinib', u'Nvp-auy922', u'AZD-8330', u'TGX 221', u'GSK1059615', u'C19H19FN4O3', u'CHIR-99021', u'Linifanib', u'PIK-93', u'Mitoxantrone', u'Dactolisib', u'Alpelisib', u'GDC-0980', u'SCHEMBL3958507', u'SCHEMBL17857056', u'MLS002232309', u'SCHEMBL6874948', u'SCHEMBL17052537', u'WZ3105', u'SCHEMBL3954849', u'QL47', u'Withaferin a', u'CHEMBL585951', u'SB590885', u'CP-724714', u'Neratinib', u'GSK-3 INHIBITOR IX', u'Geldanamycin', u'C28H30CIN5O4S', u'PHA-665752', u'Afatinib', u'HG6-64-1', u'SCHEMBL16065773', u'Monorden', u'WH-4-025', u'NVP-AEW541']",Fluorescence imaging
LDS-1251,LDG-1242,LINCS Pilot Phase Joint Project: Sensitivity measures of six breast cancer cell lines to a library of small molecule kinase inhibitors (single drug treatments). Dataset 9 of 15: Cell count and normalized growth rate inhibition values within biological replicate 2.,-,[u'MCF7'],"[u'Seliciclib', u'AT-7519', u'SCHEMBL1564574', u'AZD-8055', u'Sorafenib', u'CP466722', u'Alvocidib', u'GW843682X', u'Dasatinib', u'Tozasertib', u'Imatinib', u'TAE-684', u'CGP 60474', u'PD-173074', u'Crizotinib', u'BMS-345541', u'Saracatinib', u'Akt inhibitor viii', u'Tamatinib', u'BI-2536', u'A-443654', u'Pictilisib', u'CI-1040', u'PLX-4720', u'Lapatinib', u'Rapamycin', u'ZSTK 474', u'BX 912', u'Selumetinib', u'MK-2206', u'AZD-6482', u'NU-7441', u'OSI-027', u'WYE 125132', u'AZD-1152-HQPA', u'Vemurafenib', u'Enzastaurin', u'Palbociclib', u'PF-562271', u'PHA-793887', u'TORIN1', u'TORIN-2', u'LRRK2-IN-1', u'Erlotinib', u'Gefitinib', u'Nilotinib', u'PD-0325901', u'YM 201636', u'TWS 119', u'PF477736', u'LDN 193189', u'PF431396', u'Celastrol', u'Canertinib', u'PI-103', u'Dovitinib', u'C21H27N7O3', u'BMS-387032', u'GSK-1904529A', u'Linsitinib', u'Ruxolitinib', u'Momelotinib', u'Fedratinib', u'Trametinib', u'EX-8678', u'Buparlisib', u'SCHEMBL570779', u'Y-39983', u'Nintedanib', u'Foretinib', u'AZD-5438', u'Pelitinib', u'Nvp-auy922', u'AZD-8330', u'TGX 221', u'GSK1059615', u'C19H19FN4O3', u'CHIR-99021', u'Linifanib', u'PIK-93', u'Mitoxantrone', u'Dactolisib', u'Alpelisib', u'GDC-0980', u'SCHEMBL3958507', u'SCHEMBL17857056', u'MLS002232309', u'SCHEMBL6874948', u'SCHEMBL17052537', u'WZ3105', u'SCHEMBL3954849', u'QL47', u'Withaferin a', u'CHEMBL585951', u'SB590885', u'CP-724714', u'Neratinib', u'GSK-3 INHIBITOR IX', u'Geldanamycin', u'C28H30CIN5O4S', u'PHA-665752', u'Afatinib', u'HG6-64-1', u'SCHEMBL16065773', u'Monorden', u'WH-4-025', u'NVP-AEW541']",Fluorescence imaging
LDS-1255,LDG-1246,LINCS Pilot Phase Joint Project: Sensitivity measures of six breast cancer cell lines to a library of small molecule kinase inhibitors (single drug treatments). Dataset 13 of 15: Mean cell count and mean normalized growth rate inhibition values across biological replicate 3.,-,[u'MCF7'],"[u'Seliciclib', u'AT-7519', u'SCHEMBL1564574', u'AZD-8055', u'Sorafenib', u'CP466722', u'Alvocidib', u'GW843682X', u'Dasatinib', u'Tozasertib', u'Imatinib', u'TAE-684', u'CGP 60474', u'PD-173074', u'Crizotinib', u'BMS-345541', u'Saracatinib', u'Akt inhibitor viii', u'Tamatinib', u'BI-2536', u'A-443654', u'Pictilisib', u'CI-1040', u'PLX-4720', u'Lapatinib', u'Rapamycin', u'ZSTK 474', u'BX 912', u'Selumetinib', u'MK-2206', u'AZD-6482', u'NU-7441', u'OSI-027', u'WYE 125132', u'AZD-1152-HQPA', u'Vemurafenib', u'Enzastaurin', u'Palbociclib', u'PF-562271', u'PHA-793887', u'TORIN1', u'TORIN-2', u'LRRK2-IN-1', u'Erlotinib', u'Gefitinib', u'Nilotinib', u'PD-0325901', u'YM 201636', u'TWS 119', u'PF477736', u'LDN 193189', u'PF431396', u'Celastrol', u'Canertinib', u'PI-103', u'Dovitinib', u'C21H27N7O3', u'BMS-387032', u'GSK-1904529A', u'Linsitinib', u'Ruxolitinib', u'Momelotinib', u'Fedratinib', u'Trametinib', u'EX-8678', u'Buparlisib', u'SCHEMBL570779', u'Y-39983', u'Nintedanib', u'Foretinib', u'AZD-5438', u'Pelitinib', u'Nvp-auy922', u'AZD-8330', u'TGX 221', u'GSK1059615', u'C19H19FN4O3', u'CHIR-99021', u'Linifanib', u'PIK-93', u'Mitoxantrone', u'Dactolisib', u'Alpelisib', u'GDC-0980', u'SCHEMBL3958507', u'SCHEMBL17857056', u'MLS002232309', u'SCHEMBL6874948', u'SCHEMBL17052537', u'WZ3105', u'SCHEMBL3954849', u'QL47', u'Withaferin a', u'CHEMBL585951', u'SB590885', u'CP-724714', u'Neratinib', u'GSK-3 INHIBITOR IX', u'Geldanamycin', u'C28H30CIN5O4S', u'PHA-665752', u'Afatinib', u'HG6-64-1', u'SCHEMBL16065773', u'Monorden', u'WH-4-025', u'NVP-AEW541']",Fluorescence imaging
LDS-1250,LDG-1241,LINCS Pilot Phase Joint Project: Sensitivity measures of six breast cancer cell lines to a library of small molecule kinase inhibitors (single drug treatments). Dataset 8 of 15: Cell count and normalized growth rate inhibition values within biological replicate 1.,-,[u'MCF7'],"[u'Seliciclib', u'AT-7519', u'SCHEMBL1564574', u'AZD-8055', u'Sorafenib', u'CP466722', u'Alvocidib', u'GW843682X', u'Dasatinib', u'Tozasertib', u'Imatinib', u'TAE-684', u'CGP 60474', u'PD-173074', u'Crizotinib', u'BMS-345541', u'Saracatinib', u'Akt inhibitor viii', u'Tamatinib', u'BI-2536', u'A-443654', u'Pictilisib', u'CI-1040', u'PLX-4720', u'Lapatinib', u'Rapamycin', u'ZSTK 474', u'BX 912', u'Selumetinib', u'MK-2206', u'AZD-6482', u'NU-7441', u'OSI-027', u'WYE 125132', u'AZD-1152-HQPA', u'Vemurafenib', u'Enzastaurin', u'Palbociclib', u'PF-562271', u'PHA-793887', u'TORIN1', u'TORIN-2', u'LRRK2-IN-1', u'Erlotinib', u'Gefitinib', u'Nilotinib', u'PD-0325901', u'YM 201636', u'TWS 119', u'PF477736', u'LDN 193189', u'PF431396', u'Celastrol', u'Canertinib', u'PI-103', u'Dovitinib', u'C21H27N7O3', u'BMS-387032', u'GSK-1904529A', u'Linsitinib', u'Ruxolitinib', u'Momelotinib', u'Fedratinib', u'Trametinib', u'EX-8678', u'Buparlisib', u'SCHEMBL570779', u'Y-39983', u'Nintedanib', u'Foretinib', u'AZD-5438', u'Pelitinib', u'Nvp-auy922', u'AZD-8330', u'TGX 221', u'GSK1059615', u'C19H19FN4O3', u'CHIR-99021', u'Linifanib', u'PIK-93', u'Mitoxantrone', u'Dactolisib', u'Alpelisib', u'GDC-0980', u'SCHEMBL3958507', u'SCHEMBL17857056', u'MLS002232309', u'SCHEMBL6874948', u'SCHEMBL17052537', u'WZ3105', u'SCHEMBL3954849', u'QL47', u'Withaferin a', u'CHEMBL585951', u'SB590885', u'CP-724714', u'Neratinib', u'GSK-3 INHIBITOR IX', u'Geldanamycin', u'C28H30CIN5O4S', u'PHA-665752', u'Afatinib', u'HG6-64-1', u'SCHEMBL16065773', u'Monorden', u'WH-4-025', u'NVP-AEW541']",Fluorescence imaging
LDS-1256,LDG-1247,LINCS Pilot Phase Joint Project: Sensitivity measures of six breast cancer cell lines to a library of small molecule kinase inhibitors (single drug treatments). Dataset 14 of 15: Mean cell count and mean normalized growth rate inhibition values across all replicates.,-,[u'MCF7'],"[u'Seliciclib', u'AT-7519', u'SCHEMBL1564574', u'AZD-8055', u'Sorafenib', u'CP466722', u'Alvocidib', u'GW843682X', u'Dasatinib', u'Tozasertib', u'Imatinib', u'TAE-684', u'CGP 60474', u'PD-173074', u'Crizotinib', u'BMS-345541', u'Saracatinib', u'Akt inhibitor viii', u'Tamatinib', u'BI-2536', u'A-443654', u'Pictilisib', u'CI-1040', u'PLX-4720', u'Lapatinib', u'Rapamycin', u'ZSTK 474', u'BX 912', u'Selumetinib', u'MK-2206', u'AZD-6482', u'NU-7441', u'OSI-027', u'WYE 125132', u'AZD-1152-HQPA', u'Vemurafenib', u'Enzastaurin', u'Palbociclib', u'PF-562271', u'PHA-793887', u'TORIN1', u'TORIN-2', u'LRRK2-IN-1', u'Erlotinib', u'Gefitinib', u'Nilotinib', u'PD-0325901', u'YM 201636', u'TWS 119', u'PF477736', u'LDN 193189', u'PF431396', u'Celastrol', u'Canertinib', u'PI-103', u'Dovitinib', u'C21H27N7O3', u'BMS-387032', u'GSK-1904529A', u'Linsitinib', u'Ruxolitinib', u'Momelotinib', u'Fedratinib', u'Trametinib', u'EX-8678', u'Buparlisib', u'SCHEMBL570779', u'Y-39983', u'Nintedanib', u'Foretinib', u'AZD-5438', u'Pelitinib', u'Nvp-auy922', u'AZD-8330', u'TGX 221', u'GSK1059615', u'C19H19FN4O3', u'CHIR-99021', u'Linifanib', u'PIK-93', u'Mitoxantrone', u'Dactolisib', u'Alpelisib', u'GDC-0980', u'SCHEMBL3958507', u'SCHEMBL17857056', u'MLS002232309', u'SCHEMBL6874948', u'SCHEMBL17052537', u'WZ3105', u'SCHEMBL3954849', u'QL47', u'Withaferin a', u'CHEMBL585951', u'SB590885', u'CP-724714', u'Neratinib', u'GSK-3 INHIBITOR IX', u'Geldanamycin', u'C28H30CIN5O4S', u'PHA-665752', u'Afatinib', u'HG6-64-1', u'SCHEMBL16065773', u'Monorden', u'WH-4-025', u'NVP-AEW541']",Fluorescence imaging
